I,ID,STATUS,AREA,ZONE,PL,QL,IP,IQ,YP,YQ,OWNER,SCALE
108952,1 ,1,11,14,3.212,0.606,0.0,0.0,0.0,0.0,1,1
108991,1 ,1,18,21,8.899999999999999,3.4000000000000004,0.0,0.0,0.0,0.0,1,1
109094,1 ,1,16,31,3.179,1.538,0.0,0.0,0.0,0.0,1,1
109118,1 ,1,40,68,17.5,1.0,0.0,0.0,0.0,0.0,1,1
109138,1 ,1,19,32,3.8,0.1,0.0,0.0,0.0,0.0,1,1
109142,1 ,1,29,38,0.1,0.009,0.0,0.0,0.0,0.0,1,1
109159,1 ,1,36,79,1.0,0.2,0.0,0.0,0.0,0.0,1,1
109231,1 ,1,18,21,3.9000000000000004,0.09999999999999998,0.0,0.0,0.0,0.0,1,1
109338,1 ,1,33,41,16.52,-3.99,0.0,0.0,0.0,0.0,1,1
109341,1 ,1,39,62,17.9,8.071,0.0,0.0,0.0,0.0,1,1
109343,1 ,1,19,32,2.0,0.0,0.0,0.0,0.0,0.0,1,1
109349,1 ,1,18,21,0.2,-0.4,0.0,0.0,0.0,0.0,1,1
109405,1 ,1,1,2,5.0,0.0,0.0,0.0,0.0,0.0,1,1
109428,1 ,1,16,31,0.002,0.002,0.0,0.0,0.0,0.0,1,1
109451,1 ,1,39,62,24.9,9.557,0.0,0.0,0.0,0.0,1,1
109472,1 ,1,36,63,13.176,-2.0,0.0,0.0,0.0,0.0,1,1
109481,1 ,1,31,46,53.89,20.279,0.0,0.0,0.0,0.0,1,1
109493,1 ,1,9,10,6.15,2.021,0.0,0.0,0.0,0.0,1,1
109571,1 ,1,32,40,9.758,-0.7,0.0,0.0,0.0,0.0,1,1
109597,1 ,1,36,63,13.226999999999999,-2.994,0.0,0.0,0.0,0.0,1,1
109602,1 ,1,19,32,4.0,-0.3,0.0,0.0,0.0,0.0,1,1
109629,1 ,1,33,41,11.8,1.31,0.0,0.0,0.0,0.0,1,1
109646,1 ,1,16,31,0.001,0.001,0.0,0.0,0.0,0.0,1,1
109650,1 ,1,35,42,9.5,4.0,0.0,0.0,0.0,0.0,1,1
109750,1 ,1,41,69,10.0,4.0,0.0,0.0,0.0,0.0,1,1
109751,1 ,1,18,21,4.800000000000001,-0.19999999999999996,0.0,0.0,0.0,0.0,1,1
109752,1 ,1,40,68,3.0,0.5,0.0,0.0,0.0,0.0,1,1
109783,1 ,1,11,14,1.166,0.272,0.0,0.0,0.0,0.0,1,1
109910,1 ,1,40,68,8.5,0.91,0.0,0.0,0.0,0.0,1,1
110013,1 ,1,31,46,0.2,0.2,0.0,0.0,0.0,0.0,1,1
110059,1 ,1,32,40,15.4,-0.3,0.0,0.0,0.0,0.0,1,1
110181,1 ,1,18,21,-0.5,-0.4,0.0,0.0,0.0,0.0,1,1
110188,1 ,1,40,68,16.17,2.0,0.0,0.0,0.0,0.0,1,1
110194,1 ,1,15,20,3.169,1.041,0.0,0.0,0.0,0.0,1,1
110214,1 ,1,35,42,60.0,8.55,0.0,0.0,0.0,0.0,1,1
110247,1 ,1,19,32,5.847,-1.266,0.0,0.0,0.0,0.0,1,1
110335,1 ,1,40,68,4.84,0.72,0.0,0.0,0.0,0.0,1,1
110338,1 ,1,42,70,8.557,0.349,0.0,0.0,0.0,0.0,1,1
110367,1 ,1,45,75,4.455,0.635,0.0,0.0,0.0,0.0,1,1
110414,1 ,1,19,32,2.0,0.0,0.0,0.0,0.0,0.0,1,1
110445,1 ,1,36,79,18.35,-0.956,0.0,0.0,0.0,0.0,1,1
110479,1 ,1,16,31,72.387,21.312,0.0,0.0,0.0,0.0,1,1
110537,1 ,1,11,14,0.245,0.01,0.0,0.0,0.0,0.0,1,1
110552,1 ,1,31,46,1.551,0.389,0.0,0.0,0.0,0.0,1,1
110591,1 ,1,41,69,1.83,1.0,0.0,0.0,0.0,0.0,1,1
110637,1 ,1,40,68,1.9,0.405,0.0,0.0,0.0,0.0,1,1
110672,1 ,1,31,46,0.04,0.013,0.0,0.0,0.0,0.0,1,1
110719,1 ,1,31,46,1.0,1.0,0.0,0.0,0.0,0.0,1,1
110723,1 ,1,31,52,15.222,0.23,0.0,0.0,0.0,0.0,1,1
110736,1 ,1,12,15,10.899999999999999,-0.2,0.0,0.0,0.0,0.0,1,1
110762,1 ,1,18,21,11.5,-1.3,0.0,0.0,0.0,0.0,1,1
110782,1 ,1,16,31,5.35,-0.195,0.0,0.0,0.0,0.0,1,1
110834,1 ,1,36,63,10.258,0.701,0.0,0.0,0.0,0.0,1,1
110861,1 ,1,19,32,9.4,0.9,0.0,0.0,0.0,0.0,1,1
110895,1 ,1,27,33,0.12,0.04,0.0,0.0,0.0,0.0,1,1
