I,J,CKT,R,X,B,RATEA,RATEB,RATEC,GI,BI,GJ,BJ,ST,MET,LEN,O1,F1,O2,F2,O3,F3,O4,F4
174627,79062,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174628,79062,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174629,47835,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174630,47833,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174631,47835,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174632,47833,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174633,47971,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174634,47971,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174635,47971,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174636,47971,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174637,73238,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174638,54038,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174639,54359,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174640,54177,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174641,54267,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174642,54267,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174643,73486,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174644,73486,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174645,56054,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
