I,ID,STATUS,GL,BL
174851,1 ,1,0.0,6.3
174852,1 ,1,0.0,-24.0
174853,1 ,1,0.0,30.0
174854,1 ,1,0.0,-14.0
174855,1 ,1,0.0,-20.0
174856,1 ,1,0.0,5.4
174857,1 ,1,0.0,7.5
174858,1 ,1,0.0,7.5
174861,1 ,1,0.0,-24.0
174862,1 ,1,0.0,-24.0
174863,1 ,1,0.0,-24.0
174864,1 ,1,0.0,-24.0
174865,1 ,1,0.0,-24.0
174866,1 ,1,0.0,-24.0
174867,1 ,1,0.0,-24.0
174868,1 ,1,0.0,-24.0
174869,1 ,1,0.0,-30.0
174870,1 ,1,0.0,-0.11
174872,1 ,1,0.0,-25.0
174873,1 ,1,0.0,-30.0
174874,1 ,1,0.0,-0.11
174876,1 ,1,0.0,-10.0
174877,1 ,1,0.0,35.0
174878,1 ,1,0.0,-10.0
174881,1 ,1,0.0,26.7
174882,1 ,1,0.0,-10.0
174883,1 ,1,0.0,-10.0
174884,1 ,1,0.0,5.4
174885,1 ,1,0.0,25.3
174886,1 ,1,0.0,25.3
174887,1 ,1,0.0,25.3
174888,1 ,1,0.0,25.3
174889,1 ,1,0.0,-21.0
174891,1 ,1,0.0,30.0
174892,1 ,1,0.0,-21.0
174893,1 ,1,0.0,-25.0
174894,1 ,1,0.0,-25.0
174895,1 ,1,0.0,7.5
174896,1 ,1,0.0,7.5
174897,1 ,1,0.0,5.4
174898,1 ,1,0.0,5.4
174899,1 ,1,0.0,7.5
174900,1 ,1,0.0,7.5
174901,1 ,1,0.0,7.0
174902,1 ,1,0.0,7.0
174903,1 ,1,0.0,-20.0
174904,1 ,1,0.0,10.8
174905,1 ,1,0.0,69.0
174906,1 ,1,0.0,7.5
174907,1 ,1,0.0,7.5
174908,1 ,1,0.0,6.75
174909,1 ,1,0.0,-12.0
174910,1 ,1,0.0,-12.0
174911,1 ,1,0.0,6.75
174912,1 ,1,0.0,13.5
174913,1 ,1,0.0,-0.07
174914,1 ,1,0.0,9.9
174915,1 ,1,0.0,-8.5
174916,1 ,1,0.0,9.9
174917,1 ,1,0.0,9.9
174918,1 ,1,0.0,9.9
174919,1 ,1,0.0,12.6
174920,1 ,1,0.0,-7.5
174921,1 ,1,0.0,15.0
174922,1 ,1,0.0,15.0
174923,1 ,1,0.0,15.0
174924,1 ,1,0.0,15.0
174925,1 ,1,0.0,15.0
174926,1 ,1,0.0,36.74
174927,1 ,1,0.0,22.96
174928,1 ,1,0.0,13.78
174929,1 ,1,0.0,9.18
174930,1 ,1,0.0,12.6024
174931,1 ,1,0.0,12.6024
174935,1 ,1,0.0,8.3999
174937,1 ,1,0.0,53.2174
174940,1 ,1,0.0,16.2017
174943,1 ,1,0.0,25.2
174946,1 ,1,0.0,32.3986
174947,1 ,1,0.0,16.2017
174949,1 ,1,0.0,32.3986
174951,1 ,1,0.0,-25.0001
174952,1 ,1,0.0,32.3986
174955,1 ,1,0.0,16.2017
174956,1 ,1,0.0,16.2017
174957,1 ,1,0.0,16.2017
174962,1 ,1,0.0,16.2017
174964,1 ,1,0.0,16.2017
174966,1 ,1,0.0,99.981
174968,1 ,1,0.0,-19.9999
174969,1 ,1,0.0,32.3986
174970,1 ,1,0.0,12.6024
174971,1 ,1,0.0,12.6024
174973,1 ,1,0.0,-25.0001
174974,1 ,1,0.0,12.6024
174975,1 ,1,0.0,16.2017
174977,1 ,1,0.0,1.8
174978,1 ,1,0.0,1.8
174979,1 ,1,0.0,1.8
174980,1 ,1,0.0,1.8
174982,1 ,1,0.0,1.8
174984,1 ,1,0.0,1.8
174987,1 ,1,0.0,10.5
174988,1 ,1,0.0,10.5
174989,1 ,1,0.0,10.5
174990,1 ,1,0.0,-4.0
174991,1 ,1,0.0,-4.0
174992,1 ,1,0.0,10.5
174993,1 ,1,0.0,10.5
174994,1 ,1,0.0,10.5
174995,1 ,1,0.0,20.0
174996,1 ,1,0.0,20.0
