I,ID,PG,QG,QT,QB,VS,IREG,MBASE,ZR,ZX,RT,XT,GTAP,STAT,RMPCT,PT,PB,O1,F1,O2,F2,O3,F3,O4,F4,WMOD,WPF
44510,4 ,12.5,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,25.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
44510,5 ,12.5,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,25.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
13836,1 ,20.25,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,40.5,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
13836,2 ,20.25,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,40.5,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
13836,3 ,20.25,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,40.5,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
13836,4 ,20.15,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,40.3,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
13836,5 ,20.25,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,40.5,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
13836,6 ,21.6,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,43.2,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
13836,7 ,12.9,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,25.8,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
13836,8 ,12.9,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,25.8,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
1338,1 ,0.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,33.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
1338,2 ,16.5,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,33.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
1338,3 ,11.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,22.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
1338,4 ,16.5,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,33.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
1338,5 ,19.25,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,38.5,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
6992,1 ,21.5,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,43.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
6992,2 ,12.9,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,25.8,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
6992,3 ,25.8,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,51.6,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
6992,4 ,15.05,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,30.1,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
43656,1 ,32.4,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,64.8,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
43656,2 ,28.8,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,57.6,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
43656,3 ,30.6,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,61.2,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
103053,1 ,30.6,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,61.2,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
